,NO,일반/집합 구분,대지위치,도로명주소,건물명칭,동명칭,세대,호,가구,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률산정용면적(㎡),건폐율(%),용적률(%),주구조,용도,지붕구조,지하층수(층),지상층수(층),높이(ｍ),부속건축물(동),부속건축물(㎡),주차장_자주식_옥내(대),주차장_자주식_옥외(대),주차장_자주식_인근(대),주차장_기계식_옥내(대),주차장_기계식_옥외(대),주차장_기계식_인근(대),주차장면제(대),승용승강기(대),비상용승강기(대),허가일자,착공일자,사용승인일자,에너지효율등급,에너지절감률(%),에너지성능지표(EPI)점수,친환경인증등급,친환경인증점수,지능형인증등급,지능형인증점수,위도,경도,위경도
0,1,일반,서울특별시 마포구 구수동 60,서울특별시 마포구 토정로 ,,,0,0,0,2704,1603.16,3206.32,2186.99,59.29,79.04,경량철골구조,판매시설,(철근)콘크리트,0,2,7.6,0,0,21,0,0,0,0,0,0,0,1,2003-01-14,2003-03-10,2003-12-29,,0,0,,0,,0,37.5459718,126.9324924,"(37.5459718,126.9324924)"
1,2,집합,서울특별시 마포구 노고산동 57-1,서울특별시 마포구 신촌로 ,그랜드플라자,,0,2,0,1607.7,963.89,13741.64,8812.05,59.95,548.12,철근콘크리트구조,판매시설,(철근)콘크리트,4,12,53.15,0,0,0,2,0,108,0,0,0,2,1,,,1985-11-16,,0,0,,0,,0,37.5551264,126.9359716,"(37.5551264,126.9359716)"
2,3,일반,서울특별시 마포구 동교동 156-4,서울특별시 마포구 양화로 171,,,0,0,0,1543,924.95,4713.12,3444.63,59.95,223.24,일반철골구조,판매시설,기타지붕,1,4,24.09,0,0,36,0,0,0,0,0,0,1,0,2014-01-09,2014-01-14,2014-05-30,,0,0,,0,,0,37.5575754,126.9242843,"(37.5575754,126.924284299999)"
3,4,집합,서울특별시 마포구 동교동 159-8,서울특별시 마포구 양화로 ,토로스 쇼핑타워,,0,14,0,1151,772.97,8627.74,5715.42,67.16,496.56,철골철근콘크리트구조,판매시설,(철근)콘크리트,4,11,57.5,0,0,0,1,0,0,87,0,0,4,1,2004-06-23,2005-08-01,2008-01-10,,0,0,,0,,0,37.5564286,126.9227597,"(37.5564286,126.9227597)"
4,5,일반,서울특별시 마포구 동교동 160-4,서울특별시 마포구 양화로 147,아일렉스,,0,0,0,1611.7,935.62,15339.7852,8041.9005,58.05,498.97,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,11,69.4,0,0,64,0,0,60,0,0,0,3,1,2016-12-07,2017-03-28,2019-02-28,,0,0,,0,,0,37.5560685,126.922094,"(37.5560685,126.922094)"
5,6,일반,서울특별시 마포구 동교동 165-4,서울특별시 마포구 양화로 164,유림빌딩,,0,0,0,799.3,452.46,4338.47,3506.53,56.61,438.7,철근콘크리트구조,판매시설,(철근)콘크리트,2,10,45.75,0,0,0,2,0,42,0,0,0,2,0,2013-01-11,2013-08-30,2014-11-25,,0,0,,0,,0,37.5565388,126.9240625,"(37.5565388,126.9240625)"
6,7,집합,서울특별시 마포구 동교동 166-14,서울특별시 마포구 양화로 ,동교동 스타피카소,,944,0,0,2870.8,1667.02,29002.1,14726.49,58.07,512.98,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,11,56.4,0,0,162,0,0,38,0,0,0,2,1,2004-10-14,2005-04-20,2007-12-24,,0,0,,0,,0,37.5571999,126.9247525,"(37.5571999,126.9247525)"
7,8,일반,서울특별시 마포구 동교동 173-3,서울특별시 마포구 신촌로 ,,,0,0,0,1577.03,911.72,1998.95,1998.95,57.81,126.75,일반철골구조,판매시설,기타지붕,0,3,15.8,0,0,0,20,0,0,0,0,0,1,0,2011-09-06,2011-09-22,2011-12-23,,0,0,,0,,0,37.5581902,126.9268921,"(37.5581902,126.9268921)"
8,9,일반,서울특별시 마포구 동교동 190-1,서울특별시 마포구 양화로 ,애경타워,복합시설동,0,0,0,0,4142.13,47612.48,47546.48,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,0,17,79.5,0,0,0,0,0,0,0,0,0,10,2,2014-04-21,2015-06-03,2018-07-25,,0,0,,0,,0,37.5595395,126.9247978,"(37.5595395,126.9247978)"
9,10,일반,서울특별시 마포구 상암동 154,서울특별시 마포구  ,,,0,0,0,0,33.06,33.06,33.06,0,0,일반목구조,판매시설,기타지붕,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5778323,126.8878603,"(37.5778323,126.8878603)"
10,11,일반,서울특별시 마포구 상암동 32,서울특별시 마포구  ,,,0,0,0,0,13.22,13.22,13.22,0,0,일반목구조,판매시설,기와,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1949-07-10,,0,0,,0,,0,37.5764342,126.8838285,"(37.5764342,126.8838285)"
11,12,일반,서울특별시 마포구 상암동 32,서울특별시 마포구  ,,,0,0,0,0,13.22,13.22,13.22,0,0,일반목구조,판매시설,기와,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1949-07-10,,0,0,,0,,0,37.5764342,126.8838285,"(37.5764342,126.8838285)"
12,13,일반,서울특별시 마포구 상암동 32,서울특별시 마포구  ,,,0,0,0,0,13.22,13.22,13.22,0,0,일반목구조,판매시설,기와,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1949-07-10,,0,0,,0,,0,37.5764342,126.8838285,"(37.5764342,126.8838285)"
13,14,일반,서울특별시 마포구 서교동 354-1,서울특별시 마포구 양화로 136,,A동,0,0,0,0,334.69,2656.4,1666.79,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,2,5,19.5,0,0,0,0,0,0,0,0,0,1,0,,,1986-03-03,,0,0,,0,,0,37.5548623,126.9216868,"(37.5548623,126.9216868)"
14,15,집합,서울특별시 마포구 서교동 490,서울특별시 마포구 양화로 ,메세나폴리스,몰,0,243,0,0,15732.337,73696.108,13406.141,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,7,2,12.6,0,0,0,0,0,0,0,0,0,8,0,2007-05-25,2008-04-29,2012-06-29,,0,65,,0,,0,37.5509391,126.9137859,"(37.5509391,126.9137859)"
15,16,일반,서울특별시 마포구 성산동 266-1,서울특별시 마포구 월드컵로 ,아트센타(Art  Center),,0,0,0,1656,703.98,1800.1,1658.5,42.51,100.15,철근콘크리트구조,판매시설,기타지붕,1,3,12.2,0,0,0,17,0,0,0,0,0,0,0,1993-10-04,1993-09-30,1994-05-11,,0,0,,0,,0,37.5619872,126.9052279,"(37.5619872,126.9052279)"
16,17,일반,서울특별시 마포구 성산동 533-1,서울특별시 마포구 월드컵로 ,마포농수산물시장(2동),,0,0,0,0,147,147,147,0,0,일반철골구조,판매시설,기타지붕,0,1,5.9,0,0,0,0,0,0,0,0,0,0,0,,,2002-07-24,,0,0,,0,,0,37.5650973,126.8981457,"(37.5650973,126.8981457)"
17,18,일반,서울특별시 마포구 성산동 533-1,서울특별시 마포구 월드컵로 ,마포농수산물시장(1동),,0,0,0,33718,13318.125,17172.945,17172.945,39.49,50.931,일반철골구조,판매시설,(철근)콘크리트,0,2,15.75,1,9,0,269,0,0,0,0,0,0,0,1997,1997,1997-10-12,,0,0,,0,,0,37.5650973,126.8981457,"(37.5650973,126.8981457)"
18,19,일반,서울특별시 마포구 성산동 533-1,서울특별시 마포구 월드컵로 235,,,0,0,0,0,9,9,9,0,0,일반목구조,판매시설,기타지붕,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5650973,126.8981457,"(37.5650973,126.8981457)"
19,20,집합,서울특별시 마포구 성산동 595,서울특별시 마포구 월드컵로 ,성산임대아파트,상가동,44,0,0,0,0,1702.96,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1989-07-13,,1991-07-20,,0,0,,0,,0,37.5643137,126.901164,"(37.5643137,126.901164)"
20,21,일반,서울특별시 마포구 신수동 288-1,서울특별시 마포구 토정로17길 ,,,0,0,0,849,466.02,1092.16,890.38,54.89,104.87,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,10.3,1,9.79,0,6,0,0,0,0,0,0,0,1984-11-18,,1985-04-04,,0,0,,0,,0,37.5454382,126.9355815,"(37.5454382,126.9355815)"
21,22,일반,서울특별시 마포구 신수동 288-1,서울특별시 마포구 토정로17길 ,,,0,0,0,0,9.79,9.79,9.79,0,0,철근콘크리트구조,판매시설,기타지붕,0,1,3.6,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5454382,126.9355815,"(37.5454382,126.9355815)"
22,23,집합,서울특별시 마포구 중동 390,서울특별시 마포구 성암로11길 ,DMC마포청구아파트,상가동,21,0,0,0,0,885.66,0,0,0,철근콘크리트구조,판매시설,기타지붕,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1991-07-10,1991-07-16,1994-09-29,,0,0,,0,,0,37.5740598,126.9018998,"(37.5740598,126.9018998)"
23,1,집합,서울특별시 동대문구 답십리동 494-2,서울특별시 동대문구 천호대로 ,우창프라자아파트,,160,0,0,1591.1,916.82,20294.44,14382.73,57.62,903.95,철근콘크리트구조,판매시설,(철근)콘크리트,5,20,71.6,0,0,75,10,0,58,0,0,0,2,2,1991-06-29,1991-10-01,1994-06-10,,0,0,,0,,0,37.5664865,127.0538678,"(37.5664865,127.0538678)"
24,2,일반,서울특별시 동대문구 답십리동 495-1,서울특별시 동대문구 천호대로 ,,,0,0,0,3084.9,1828.11,4046.5,3484.02,59.26,112.94,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,8.7,0,0,0,37,0,0,0,0,0,0,0,,,1971-01-14,,0,0,,0,,0,37.5676419,127.0523272,"(37.5676419,127.0523272)"
25,3,집합,서울특별시 동대문구 답십리동 961-9,서울특별시 동대문구 고미술로 ,,,242,0,0,3012,1601.3,10504.45,7993.66,53.16,265.39,철근콘크리트구조,판매시설,기타지붕,1,5,18,0,0,16,40,0,0,0,0,0,0,0,,,1980-04-30,,0,0,,0,,0,37.5642537,127.0575961,"(37.5642537,127.057596099999)"
26,4,집합,서울특별시 동대문구 용두동 231-5,서울특별시 동대문구 무학로37길 ,,,101,0,0,0,0,2794.17,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1964-11-18,,0,0,,0,,0,37.5784175,127.0295441,"(37.5784175,127.029544099999)"
27,5,일반,서울특별시 동대문구 용두동 27-3,서울특별시 동대문구 고산자로 ,하이마트 용두점,,0,0,0,1525,737.69,1404.9,1404.9,48.37,92.12,일반철골구조,판매시설,기타지붕,0,2,12.59,0,0,0,14,0,0,0,0,0,0,0,2003-03-25,2003-06-02,2003-07-22,,0,0,,0,,0,37.576516,127.0387941,"(37.576516,127.0387941)"
28,6,일반,서울특별시 동대문구 용두동 29-6,서울특별시 동대문구 고산자로 ,,,0,0,0,1666.4,709.56,1990.13,1873.48,42.58,112.43,일반철골구조,판매시설,기타지붕,0,3,15.8,0,0,0,27,0,0,0,0,0,1,0,2011-04-05,2011-04-14,2011-07-11,,0,0,,0,,0,37.5754393,127.0386359,"(37.5754393,127.0386359)"
29,7,일반,서울특별시 동대문구 용두동 33-1,서울특별시 동대문구 천호대로 ,홈플러스 동대문점,홈플러스 동대문점,0,0,0,7917.6,4694.1,43178.27,9598.1,59.29,121.22,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,6,32.3,0,0,501,31,0,0,0,0,0,2,0,2002-03-08,2002-04-25,2005-12-27,,0,0,,0,,0,37.5745215,127.038825,"(37.5745215,127.038825)"
30,8,집합,서울특별시 동대문구 용두동 787,서울특별시 동대문구 왕산로 ,동의보감타워,동의보감타워,974,0,0,3273.3,1374.25,37290.9,24040.26,41.98,734.43,철근콘크리트구조,판매시설,(철근)콘크리트,5,18,69.9,0,0,153,2,0,0,0,0,0,6,1,2002-12-18,2003-02-01,2005-12-09,,0,0,,0,,0,37.577822,127.0376809,"(37.577822,127.0376809)"
31,9,집합,서울특별시 동대문구 용두동 788,서울특별시 동대문구 왕산로 ,한방천하-용두동 포스빌,한방천하-용두동 포스빌,0,750,0,2966.8,1110.026,31390.552,19134.756,37.41,644.96,철근콘크리트구조,판매시설,(철근)콘크리트,6,18,69.9,0,0,125,0,0,0,0,0,0,5,1,2003-01-16,2003-07-26,2006-12-18,,0,0,,0,,0,37.5778372,127.0368934,"(37.5778372,127.0368934)"
32,10,일반,서울특별시 동대문구 이문동 250-1,서울특별시 동대문구 이문로 200,,,0,0,1,0,0,2637.7,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1972-07-19,,0,0,,0,,0,37.6044462,127.0624406,"(37.6044462,127.0624406)"
33,11,일반,서울특별시 동대문구 장안동 111-1,서울특별시 동대문구 한천로 ,동서울농협 장안동지점,,0,0,0,1466,713.08,7221.18,3625.82,48.64,247.33,철근콘크리트구조,판매시설,(철근)콘크리트,3,6,31.7,0,0,48,0,0,0,0,0,0,5,0,2011-06-28,2011-12-01,2013-04-19,,0,0,,0,,0,37.5782156,127.0678379,"(37.5782156,127.0678379)"
34,12,집합,서울특별시 동대문구 장안동 334-1,서울특별시 동대문구 답십리로 ,,,16,0,0,0,0,1596.54,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1978-10-13,,0,0,,0,,0,37.5718983,127.0746389,"(37.5718983,127.0746389)"
35,13,집합,서울특별시 동대문구 장안동 368-1,서울특별시 동대문구 답십리로 288,아트몰링 장안,아트몰링 장안,35,0,0,3097.7,1765.19,40755.44,24671.15,56.98,796.43,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,17,82.05,0,0,268,0,0,70,0,0,0,5,2,2002-11-08,2002-11-15,2005-04-01,,0,0,,0,,0,37.571928,127.0724157,"(37.571928,127.0724157)"
36,14,집합,서울특별시 동대문구 전농동 295-431,서울특별시 동대문구 전농로15길 21,,제1남동,68,0,0,0,0,1215.25,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1969-10-20,,0,0,,0,,0,37.5777887,127.056439,"(37.5777887,127.056438999999)"
37,15,집합,서울특별시 동대문구 전농동 295-48,서울특별시 동대문구 전농로15길 22,북동점포,,63,0,0,0,0,1404.97,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1969-10-20,,0,0,,0,,0,37.578025,127.0562985,"(37.578025,127.0562985)"
38,16,집합,서울특별시 동대문구 전농동 493-2,서울특별시 동대문구 답십리로 45,,,0,16,0,1314,945.39,1581.65,1402.91,71.95,106.77,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,10.3,0,0,0,0,0,0,0,0,0,0,0,,,1973-03-09,,0,0,,0,,0,37.5767618,127.0468445,"(37.5767617999999,127.0468445)"
39,17,일반,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 답십리로11길 30-22,,,0,0,0,0,0,75.38,0,0,0,벽돌구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1960-09-30,,0,0,,0,,0,37.5801542,127.0479257,"(37.5801542,127.0479257)"
40,18,일반,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 답십리로11길 30-22,,,0,0,0,0,0,257.86,0,0,0,벽돌구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1960-09-20,,0,0,,0,,0,37.5801542,127.0479257,"(37.5801542,127.0479257)"
41,19,일반,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 답십리로11길 30-22,,,0,0,0,0,0,35.38,0,0,0,벽돌구조,판매시설,(철근)콘크리트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5801542,127.0479257,"(37.5801542,127.0479257)"
42,20,집합,서울특별시 동대문구 전농동 591-53,서울특별시 동대문구 왕산로 ,한화(HANWHA),,0,0,0,59327,33398.62,177793.43,107715.78,56.3,181.56,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,9,50,0,0,1592,0,0,0,0,0,0,28,6,2004-06-19,2006-05-01,2010-08-05,,0,0,,0,,0,37.5809967,127.0470217,"(37.5809967,127.0470217)"
43,21,집합,서울특별시 동대문구 전농동 6,서울특별시 동대문구 사가정로 190,전농우성아파트,상가,202,0,0,0,0,4720.63,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1988-01-13,,1992-03-11,,0,0,,0,,0,37.5772753,127.0649702,"(37.5772753,127.0649702)"
44,22,집합,서울특별시 동대문구 전농동 620-67,서울특별시 동대문구 왕산로 ,청량리 지하도상가,,0,0,0,0,0,172.2,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5826955,127.0485232,"(37.5826955,127.0485232)"
45,23,일반,서울특별시 동대문구 전농동 620-70,서울특별시 동대문구 왕산로 178,,A동,0,0,0,583.1,272.43,1228.7,1228.7,46.72,210.72,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,1966-12-09,,0,0,,0,,0,37.5792364,127.0431797,"(37.5792364,127.0431797)"
46,24,집합,서울특별시 동대문구 전농동 647-1,서울특별시 동대문구 서울시립대로 ,전농프라자,,9,0,0,3701.3,1838.84,19804.64,0,49.68,296.61,철근콘크리트구조,판매시설,(철근)콘크리트,3,6,32.15,0,0,94,11,0,0,0,0,0,2,0,1991-06-12,1991-07-24,1994-12-31,,0,0,,0,,0,37.5745517,127.0470154,"(37.5745517,127.0470154)"
47,25,일반,서울특별시 동대문구 제기동 1019,서울특별시 동대문구 고산자로36길 3,,,0,0,0,5014.4,0,15208.91,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,2,3,0,0,0,73,71,0,0,0,0,0,0,0,1981-08-10,,1983-07-02,,0,0,,0,,0,37.5791905,127.0393021,"(37.5791905,127.0393021)"
48,26,일반,서울특별시 동대문구 제기동 1050,서울특별시 동대문구 고산자로 435,,,0,0,0,0,0,4315.99,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1968-09-23,,0,0,,0,,0,37.5786157,127.0380129,"(37.5786157,127.0380129)"
49,27,집합,서울특별시 동대문구 제기동 1140-5,서울특별시 동대문구 왕산로 ,불로장생타워,불로장생타워,1359,0,0,1820.1,1088,21359.42,14525.99,59.78,798.09,철골철근콘크리트구조,판매시설,(철근)콘크리트,5,14,58.95,0,0,90,0,0,0,0,0,0,3,0,2003-10-23,2004-06-23,2007-02-13,,0,66,,0,,0,37.5785506,127.0365347,"(37.5785506,127.0365347)"
50,28,일반,서울특별시 동대문구 제기동 1158-31,서울특별시 동대문구 왕산로19다길 11,,,0,0,0,608,222.99,404.95,364.69,36.68,59.98,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,9.25,0,0,0,4,0,0,0,0,0,0,0,1991-04-22,1991-09-16,1991-12-17,,0,0,,0,,0,37.5790743,127.0330103,"(37.5790743,127.0330103)"
