,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명,위도,경도,위경도
0,3000000,2.02E+18,20190917,,1,영업/정상,1,정상영업,02-430-4200,25198.02,,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동),3140,낙원상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,198838.913,452214.211,대규모점포,37.57221697,126.9847546,"(37.57221697,126.9847546)"
1,3000000,2.02E+18,20190917,,1,영업/정상,1,정상영업,02-743-6133,25198.02,,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 (낙원동),3140,낙원상가,2.02E+13,I,22:37.0,그 밖의 대규모점포,198838.913,452214.211,대규모점포,37.57221697,126.9847546,"(37.57221697,126.9847546)"
2,3000000,2.00E+18,20030304,,1,영업/정상,1,정상영업,2267-0291,16128.75,110833,서울특별시 종로구 예지동 6번지 1호,,,광장주식회사,2.01E+13,I,59:59.0,시장,199837.4143,451974.1285,,37.57005465,126.9960575,"(37.57005465,126.9960575)"
3,3030000,2.02E+18,20130219,,1,영업/정상,1,정상영업,02-2253-8541,143.55,,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,서울특별시 성동구 왕십리로 109 성수만세주유소 (성수동1가),4768,홈플러스익스프레스 뚝섬2점,2.02E+13,U,06:00.0,구분없음,203841.2255,449475.5401,,37.54753492,127.0413655,"(37.54753492,127.0413655)"
4,3000000,2.00E+18,20040430,,1,영업/정상,1,정상영업,02 3995591,,,서울특별시 종로구 서린동 33호   ,,,영풍문고,2.01E+13,I,59:59.0,대형마트,198351.8187,451921.603,,37.56957984,126.9792415,"(37.56957984,126.9792415)"
5,3000000,2.00E+18,20041210,,1,영업/정상,1,정상영업,222798751,11750,,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가),3198,동대문종합시장D동상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,200579.4098,452035.3477,준대규모점포,37.57060611,127.0044565,"(37.57060611,127.0044565)"
6,3000000,2.01E+18,20110816,,1,영업/정상,1,정상영업,02-743-8546,273.3,110876,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동),110876,홈플러스(주)익스프레스 숭인점,2.02E+13,U,07:00.0,구분없음,201359.5335,452395.6591,,37.5738517,127.0132878,"(37.5738517,127.0132878)"
7,3000000,2.01E+18,20070907,,1,영업/정상,1,정상영업,763-0181,3393.77,,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신),3095,브라운스톤 창신상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,201258.0627,452787.1328,준대규모점포,37.57737897,127.0121397,"(37.57737897,127.0121397)"
8,3000000,2.00E+18,20031020,,1,영업/정상,1,정상영업,222770114,4612.66,110126,서울특별시 종로구 종로6가 289번지 57호,서울특별시 종로구 종로 272 (종로6가),110126,동대문종합시장 신관,2.02E+13,I,59:59.0,그 밖의 대규모점포,200647.0133,452054.7649,대규모점포,37.57078102,127.0052217,"(37.57078102,127.0052217)"
9,3160000,2.01E+18,20120620,,1,영업/정상,1,정상영업,02-868-8726,228.69,152720,서울특별시 구로구 구로1동 650번지 4호 SK허브수 제B동 제118호제119호제121호~126호,서울특별시  구일로10길 27 B동 1층 (제118호제119호제121호~126호),152720,홈플러스 익스프레스 서울구로점,2.02E+13,U,05:00.0,구분없음,188674.9951,443749.503,,37.49588112,126.8698326,"(37.49588112,126.8698326)"
10,3070000,2.01E+18,20120521,,1,영업/정상,1,정상영업,02-941-5610,292.56,136110,서울특별시 성북구 길음동 1274번지 67호,서울특별시 성북구 길음로13길 22 (길음동 길음뉴타운7단지두산위브아파트),136732,롯데마이슈퍼 길음점,2.02E+13,U,05:00.0,구분없음,201706.214,456753.5656,,37.61311521,127.017222,"(37.61311521,127.017222)"
11,3000000,2.01E+18,19550705,,1,영업/정상,1,정상영업,2267-0291,16128.75,110440,서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 창경궁로 88 (예지동),110834,광장시장,2.02E+13,U,06:00.0,복합쇼핑몰,199837.4143,451974.1285,,37.57005465,126.9960575,"(37.57005465,126.9960575)"
12,3000000,2.00E+18,19920704,,1,영업/정상,1,정상영업,02  519 2800,6906.53,110752,서울특별시 종로구 서린동 33번지 영풍빌딩,서울특별시 종로구 청계천로 41 (서린동),110752,(주)영풍문고,2.02E+13,U,09:00.0,전문점,198351.8187,451921.603,,37.56957984,126.9792415,"(37.56957984,126.9792415)"
13,3020000,2.00E+18,20040921,,1,영업/정상,1,정상영업,02-2012-0101,117912.81,,서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),140780,아이파크몰(I PARK MALL),2.02E+13,U,08:00.0,쇼핑센터,196762.0774,447480.0396,,37.52955743,126.9612665,"(37.52955743,126.9612665)"
14,3000000,2.01E+18,20100218,,1,영업/정상,1,정상영업,3413-0276,8390.2,110410,서울특별시 종로구 인의동 112번지 2호,서울특별시 종로구 창경궁로 109 (인의동),110410,세운스퀘어,2.02E+13,U,04:00.0,그 밖의 대규모점포,199670.9799,452221.775,,37.57228586,126.9941734,"(37.57228586,126.9941734)"
15,3000000,1.99E+18,19910731,,1,영업/정상,1,정상영업,222620209,55081.94,110784,서울특별시 종로구 종로6가 289번지 3 호,서울특별시 종로구 종로 266 (종로6가),110784,동대문종합시장,2.02E+13,U,00:00.0,그 밖의 대규모점포,200717.749,452011.8651,,37.57039445,127.0060224,"(37.57039445,127.0060224)"
16,3010000,2.02E+18,20191017,,1,영업/정상,1,정상영업,02-2264-8511,3778.41,,서울특별시 중구 산림동 207번지 1호 세운청계상가,서울특별시 중구 청계천로 160 세운청계상가 (산림동),4545,청계상가,2.02E+13,I,22:53.0,그 밖의 대규모점포,199521.2008,451751.4241,대규모점포,37.56804798,126.9924783,"(37.56804798,126.9924783)"
17,3010000,1.96E+18,19641013,,1,영업/정상,1,정상영업,02-753-2805,53845.06,100060,서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동),100060,서울남대문시장,2.02E+13,U,59:59.0,그 밖의 대규모점포,197951.1506,450771.0878,대규모점포,37.55921299,126.9747094,"(37.55921299,126.9747094)"
18,3010000,1.97E+18,19960704,,1,영업/정상,1,정상영업,02-2232-3608,6140,,,서울특별시 중구 마장로 30 (신당동),100886,팀204,2.02E+13,U,40:00.0,그 밖의 대규모점포,201096.6813,451715.8304,대규모점포,37.56772686,127.0103113,"(37.56772686,127.0103113)"
19,3010000,1.97E+18,19700129,,1,영업/정상,1,정상영업,02-2269-1967,15144,,,서울특별시 중구 청계천로 260-9 (을지로6가 통일의류종합상가),4563,통일상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200541.6377,451814.4595,대규모점포,37.56861595,127.0040288,"(37.56861595,127.0040288)"
20,3010000,1.97E+18,19711230,,1,영업/정상,1,정상영업,222699891,10269.89,,서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가),,진양상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,199571.5995,451124.8514,대규모점포,37.56240265,126.9930491,"(37.56240265,126.9930491)"
21,3010000,1.98E+18,19770623,,1,영업/정상,1,정상영업,02-778-4611,9578,,,서울특별시 중구 삼일대로 363 (장교동),100760,상제리제상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,198744.4332,451677.0651,대규모점포,37.56737722,126.983686,"(37.56737722,126.983686)"
22,3010000,1.98E+18,19801016,,1,영업/정상,1,정상영업,222384914,4203.03,,서울특별시 중구 신당동 776호,서울특별시 중구 마장로 19 (신당동),,(주)에리어식스,2.02E+13,I,59:59.0,그 밖의 대규모점포,200989.6866,451762.2615,대규모점포,37.56814532,127.0091003,"(37.56814532,127.0091003)"
23,3010000,1.99E+18,20090908,,1,영업/정상,1,정상영업,2236-8027,4097.54,100430,서울특별시 중구 흥인동 3번지 4호,서울특별시 중구 다산로 274 (흥인동),,우일타운,2.02E+13,I,59:59.0,전문점,201390.6235,451682.9244,대규모점포,37.56743001,127.0136384,"(37.56743001,127.0136384)"
24,3010000,2.01E+18,19720918,,1,영업/정상,1,정상영업,2278-5191,10041.58,100194,서울특별시 중구 을지로4가 9번지 6호,서울특별시 중구 을지로 157 (을지로4가),,대림상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,199534.3297,451608.2229,대규모점포,37.56675776,126.992627,"(37.56675776,126.992627)"
25,3160000,2.01E+18,20120420,,1,영업/정상,1,정상영업,3459-8000,246,152897,서울특별시 구로구 오류2동 160번지  외 2필지,서울특별시 구로구 서해안로 2293 (오류동외 2필지),,홈플러스 익스프레스 서울오류점,2.02E+13,U,07:00.0,구분없음,185756.1749,443268.099,,37.4915031,126.8368353,"(37.4915031,126.8368353)"
26,3010000,2.01E+18,19761129,,1,영업/정상,1,정상영업,02-2268-6691,18500,,,서울특별시 중구 동호로37길 20 (방산동),100812,방산종합시장,2.02E+13,I,59:59.0,그 밖의 대규모점포,200002.9527,451823.5325,대규모점포,37.56869782,126.9979313,"(37.56869782,126.9979313)"
27,3010000,2.01E+18,20000707,,1,영업/정상,1,정상영업,02-2256-3500,6954.85,,,서울특별시 중구 다산로 32 (신당동),100754,남산타운5상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포,37.54959375,127.0090414,"(37.54959375,127.0090414)"
28,3010000,2.01E+18,19900604,,1,영업/정상,1,정상영업,02-2232-2000,4448,,,서울특별시 중구 마장로1길 28 (신당동),100887,아트프라자,2.02E+13,U,05:00.0,그 밖의 대규모점포,201070.9794,451874.6375,,37.56915773,127.0100206,"(37.56915773,127.0100206)"
29,3000000,2.01E+18,19871030,,1,영업/정상,1,정상영업,27644766,3660,,,서울특별시 종로구 종로44길 14 (창신동),110842,동문시장,2.02E+13,U,05:00.0,시장,200908.3984,452025.3465,,37.57051576,127.0081805,"(37.57051576,127.0081805)"
30,3030000,2.00E+18,20000331,,1,영업/정상,1,정상영업,02)2281-7003,5873.69,,서울특별시 성동구 행당동 346번지 행당 한진타운 종합상가,서울특별시 성동구 행당로 84 행당 한진타운 종합상가 (행당동),4717,한진종합상가,2.02E+13,U,03:00.0,그 밖의 대규모점포,202511.1429,450401.3037,,37.55588045,127.0263174,"(37.55588045,127.0263174)"
31,3010000,2.01E+18,20000707,,1,영업/정상,1,정상영업,02-2256-3500,5268.33,,,서울특별시 중구 다산로 32 (신당동),100754,남산타운2상가,2.02E+13,I,59:59.0,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포,37.54959375,127.0090414,"(37.54959375,127.0090414)"
32,3060000,2.01E+18,20110809,,1,영업/정상,1,정상영업,24348546,364.6,131233,서울특별시 중랑구 망우3동 410번지 1호,서울특별시 중랑구 용마산로 494 (망우동),131806,홈플러스(주)익스프레스 망우점,2.02E+13,U,03:00.0,그 밖의 대규모점포,208781.9994,454740.6269,,37.59493917,127.0973381,"(37.59493917,127.0973381)"
33,3010000,2.01E+18,20060317,,1,영업/정상,1,정상영업,02-2079-0950,4944.51,,,서울특별시 중구 퇴계로 123 (충무로2가),100861,하이해리엇,2.02E+13,U,40:00.0,그 밖의 대규모점포,198636.2504,451005.7216,대규모점포,37.56132833,126.9824628,"(37.56132833,126.9824628)"
34,3010000,2.01E+18,20000821,,1,영업/정상,1,정상영업,02-727-1471,12585.13,100881,서울특별시 중구 회현동1가 204번지 메사빌딩,서울특별시 중구 남대문시장10길 2 (회현동1가메사빌딩),,신세계백화점메사점,2.02E+13,U,40:00.0,쇼핑센터,198129.4355,450900.2397,대규모점포,37.56037703,126.9767269,"(37.56037703,126.9767269)"
