,학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,위도,경도,위경도
0,각종학교(중),사립,7134155,선화예술중학교,Sunhwa Arts Middle School,서울특별시성동광진교육지원청,4991,서울특별시 광진구 천호대로 664,/ 선화예술중고등학교 (능동),02-2204-1100,https://sunhwaarts.sen.ms.kr,02-453-4641,남여공학,,N,일반계,,전기,주간,19731201,19730705,B10,서울특별시교육청,서울특별시,,,,20211108,37.5509798,127.0870952,"(37.5509798,127.0870952)"
1,초등학교,공립,7134150,서울숭신초등학교,Seoul Soongshin Elementary School,서울특별시성동광진교육지원청,4702,서울특별시 성동구 마장로 161,(하왕십리동),02-2252-5950,http://soongshin.sen.es.kr,02-2236-6134,남여공학,,N,일반계,,전기,주간,19590403,19590403,B10,서울특별시교육청,서울특별시,,,,20211108,37.56781934,127.0278897,"(37.56781934,127.0278897)"
2,중학교,공립,7134142,행당중학교,Haengdang Middle School,서울특별시성동광진교육지원청,4764,서울특별시 성동구 왕십리로 189,(행당동/행당중학교),02-2292-2721,http://www.haengdang.ms.kr,02-2293-0473,남여공학,,N,일반계,,전기,주간,19680806,19681002,B10,서울특별시교육청,서울특별시,,,,20211108,37.55455404,127.0419634,"(37.55455404,127.0419634)"
3,중학교,사립,7134141,한양대학교사범대학부속중학교,Hanyang University Middle School,서울특별시성동광진교육지원청,4761,서울특별시 성동구 마조로 42,(사근동/한양사대부속중?고등학교),02-2200-3700,http://hanyang-u.ms.kr,02-2298-3173,남여공학,,N,일반계,,전기,주간,19600118,19600118,B10,서울특별시교육청,서울특별시,,,,20211108,37.56191884,127.042324,"(37.56191884,127.042324)"
4,중학교,공립,7134140,자양중학교,Jayang Middle School,서울특별시성동광진교육지원청,5069,서울특별시 광진구 뚝섬로41길 33,(자양동/서울자양중학교),02-446-0365,http://jayang.sen.ms.kr,02-458-7047,남여공학,,N,일반계,,전기,주간,19840301,19840301,B10,서울특별시교육청,서울특별시,,,,20211108,37.53539805,127.074384,"(37.53539805,127.074384)"
5,중학교,공립,7134139,용곡중학교,Yong-gok Middle School,서울특별시성동광진교육지원청,4940,서울특별시 광진구 용마산로22길 76,(중곡동/용곡중학교),02-452-2622,http://yonggok.sen.ms.kr/index.do,02-458-8566,남여공학,,N,일반계,,전기,주간,19821209,19830504,B10,서울특별시교육청,서울특별시,,,,20211108,37.56595126,127.0890896,"(37.56595126,127.0890896)"
6,중학교,공립,7134138,옥정중학교,Ok-Jung Middle School,서울특별시성동광진교육지원청,4734,서울특별시 성동구 한림말길 11,/ 옥정중학교 (옥수동),02-6021-2100,http://okjung.sen.ms.kr,02-2298-1303,남여공학,,N,일반계,,전기,주간,19840109,19840511,B10,서울특별시교육청,서울특별시,,,,20211108,37.54167037,127.0129832,"(37.54167037,127.0129832)"
7,중학교,공립,7134137,양진중학교,Yangjin Middle School,서울특별시성동광진교육지원청,4982,서울특별시 광진구 워커힐로 32,/ 양진중학교,02-2049-1200,http://www.yangjin.ms.kr,02-2049-1208/1220,남여공학,,N,해당없음,,전기,주간,20051229,20060514,B10,서울특별시교육청,서울특별시,,,,20211108,37.54457517,127.0983114,"(37.54457517,127.0983114)"
8,중학교,공립,7134136,신양중학교,Shinyang Middle School,서울특별시성동광진교육지원청,5087,서울특별시 광진구 자양강변길 73,/ 신양중학교 (자양동),02-461-1070,http://shinyang.ms.kr,02-469-8386,남여공학,,N,일반계,,전기,주간,19840109,19840509,B10,서울특별시교육청,서울특별시,,,,20211108,37.53365227,127.0634253,"(37.53365227,127.0634253)"
9,중학교,공립,7134135,성원중학교,Sungwon Middle School,서울특별시성동광진교육지원청,4775,서울특별시 성동구 성덕정9가길 13,(성수동2가/ 성원중학교),02-3408-2558,http://www.sungwon.ms.kr,02-463-0676,남여공학,,N,일반계,,전기,주간,19680806,19681002,B10,서울특별시교육청,서울특별시,,,,20211108,37.53945182,127.0513835,"(37.53945182,127.0513835)"
10,중학교,공립,7134134,성수중학교,Seongsu Middle School,서울특별시성동광진교육지원청,4768,서울특별시 성동구 서울숲길 18,(성수동1가/ 성수중학교),02-463-4786,http://seongsu.sen.ms.kr,02-469-5292,남여공학,,N,일반계,,전기,주간,19671027,19671027,B10,서울특별시교육청,서울특별시,,,,20211108,37.54734181,127.0382534,"(37.54734181,127.0382534)"
11,중학교,공립,7134132,무학중학교,Muhak Middle School,서울특별시성동광진교육지원청,4716,서울특별시 성동구 행당로 120,(행당동),02-2298-6141,http://muhakg.ms.kr,02-2281-5821,남여공학,,N,일반계,,전기,주간,19681001,19681001,B10,서울특별시교육청,서울특별시,,,,20211108,37.55770119,127.0319922,"(37.55770119,127.0319922)"
12,중학교,공립,7134131,마장중학교,Majang Junior High School,서울특별시성동광진교육지원청,4753,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동),02-2282-2933,http://mj.sen.ms.kr,02-2282-2656,남여공학,,N,해당없음,,전기,주간,20050301,20050405,B10,서울특별시교육청,서울특별시,,,,20211108,37.56830949,127.042128,"(37.56830949,127.042128)"
