,역번호,호선,역명,역전화번호,도로명주소,위도,경도,위경도
0,150,1,서울역,02-6110-1331,서울특별시 중구 세종대로 지하 2 (남대문로 5가),37.55715948,126.9725546,"(37.55715948,126.9725546)"
1,151,1,시청,02-6110-1321,서울특별시 중구 세종대로 지하 101 (정동),37.56543852,126.9769832,"(37.56543852,126.9769832)"
2,152,1,종각,02-6110-1311,서울특별시 종로구 종로 지하 55 (종로1가),37.57021404,126.9832397,"(37.57021404,126.9832397)"
3,153,1,종로3가,02-6110-1301,서울특별시 종로구 종로 지하 129 (종로3가),37.5704266,126.9920293,"(37.5704266,126.9920293)"
4,154,1,종로5가,02-6110-1291,서울특별시 종로구 종로 지하 216  (종로5가),37.57090754,127.0019166,"(37.57090754,127.0019166)"
5,155,1,동대문,02-6110-1281,서울특별시 종로구 종로 지하 302 (창신동),37.57177757,127.0111671,"(37.57177757,127.0111671)"
6,156,1,신설동,02-6110-1261,서울특별시 동대문구 왕산로 지하 1 (신설동),37.57531948,127.0247019,"(37.57531948,127.0247019)"
7,157,1,제기동,02-6110-1251,서울특별시 동대문구 왕산로 지하 93 (제기동),37.57819673,127.0346906,"(37.57819673,127.0346906)"
8,158,1,청량리,02-6110-1241,서울특별시 동대문구 왕산로 지하 205(전농동),37.58023316,127.0450859,"(37.58023316,127.0450859)"
9,159,1,동묘앞,02-6110-1271,서울특별시 종로구 종로 359 (숭인동),37.57337221,127.0167512,"(37.57337221,127.0167512)"
10,200,2,까치산,02-6311-5181,서울특별시 강서구 강서로 지하54 (화곡동),37.53195608,126.8466116,"(37.53195608,126.8466116)"
11,201,2,시청,02-6110-2011,서울특별시 중구 세종대로 지하 101 (정동),37.56543852,126.9769832,"(37.56543852,126.9769832)"
12,202,2,을지로입구,02-6110-2021,서울특별시 중구 을지로 지하 42 (을지로1가),37.56605095,126.9823729,"(37.56605095,126.9823729)"
13,203,2,을지로3가,02-6110-2031,서울특별시 중구 을지로 지하 106 (을지로3가),37.56626595,126.9903084,"(37.56626595,126.9903084)"
14,204,2,을지로4가,02-6110-2041,서울특별시 중구 을지로 지하 178 (을지로4가),37.56663699,126.9978528,"(37.56663699,126.9978528)"
15,205,2,동대문역사문화공원,02-6110-2051,서울특별시 중구 을지로 지하 279 (을지로7가),37.56558952,127.0091315,"(37.56558952,127.0091315)"
16,206,2,신당,02-6110-2061,서울특별시 중구 퇴계로 지하 431-1 (신당동),37.56565403,127.0195406,"(37.56565403,127.0195406)"
17,207,2,상왕십리,02-6110-2071,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),37.56446871,127.0290312,"(37.56446871,127.0290312)"
18,208,2,왕십리,02-6110-2081,서울특별시 성동구 왕십리로 지하300 (행당동),37.56122174,127.0366554,"(37.56122174,127.0366554)"
19,209,2,한양대,02-6110-2091,서울특별시 성동구 왕십리로 206 (행당동),37.55557788,127.0435845,"(37.55557788,127.0435845)"
20,210,2,뚝섬,02-6110-2101,서울특별시 성동구 아차산로 18 (성수동1가),37.54718822,127.0473652,"(37.54718822,127.0473652)"
21,211,2,성수,02-6110-2111,서울특별시 성동구 아차산로 100 (성수동2가),37.5445024,127.0560905,"(37.5445024,127.0560905)"
22,212,2,건대입구,02-6110-2121,서울특별시 광진구 아차산로 243 (화양동),37.54041889,127.0691733,"(37.54041889,127.0691733)"
23,213,2,구의,02-6110-2131,서울특별시 광진구 아차산로 384-1 (구의동),37.53715356,127.0861792,"(37.53715356,127.0861792)"
24,214,2,강변,02-6110-2141,서울특별시 광진구 강변역로 53 (구의동),37.53516928,127.0946646,"(37.53516928,127.0946646)"
