,상권_코드_명,서비스_업종_코드_명,점포당매출액
0,자하문로7길,한식음식점,49267754 
1,자하문로7길,중식음식점,88537445 
2,자하문로7길,커피-음료,11900306 
3,자하문로7길,예술학원,10451450 
4,자하문로7길,미용실,11394646 
5,자하문로7길,세탁소,4930685 
6,자하문로7길,슈퍼마켓,69607898 
7,자하문로7길,편의점,83581633 
8,자하문로7길,의료기기,153014146 
9,자하문로7길,패스트푸드점,21056694 
10,자하문로7길,분식전문점,105760043 
11,자하문로7길,스포츠 강습,1290741 
12,자하문로7길,일반의원,280906342 
13,자하문로7길,치과의원,64808883 
14,자하문로7길,네일숍,4938494 
15,자하문로7길,가전제품수리,2637893 
16,자하문로7길,노래방,1415369 
17,자하문로7길,육류판매,108785954 
18,자하문로7길,반찬가게,72085914 
19,자하문로7길,일반의류,23107045 
20,자하문로7길,안경,79867520 
21,자하문로7길,의약품,135696903 
22,자하문로7길,애완동물,15566646 
23,자하문로7길,가전제품,107436771 
24,자하문로7길,철물점,12548011 
25,자하문로7길,조명용품,49176691 
26,자하문로7길,일식음식점,34152362 
27,자하문로7길,양식음식점,42967456 
28,자하문로7길,제과점,16111019 
29,자하문로7길,치킨전문점,17436247 
30,자하문로7길,호프-간이주점,14149187 
31,자하문로7길,한의원,33860169 
32,자하문로7길,당구장,2815250 
33,자하문로7길,PC방,40682443 
34,자하문로7길,스포츠클럽,29393060 
35,자하문로7길,피부관리실,15489940 
36,자하문로7길,여관,11277602 
37,자하문로7길,청과상,114497881 
38,자하문로7길,신발,18640418 
39,자하문로7길,시계및귀금속,28781900 
40,자하문로7길,문구,70689580 
41,자하문로7길,화장품,21997994 
42,자하문로7길,운동/경기용품,69325223 
43,자하문로7길,화초,19137106 
44,자하문로7길,인테리어,14768460 
45,자하문로7길,일반교습학원,29597703 
46,자하문로7길,골프연습장,24980296 
47,자하문로7길,가방,8000000 
48,자하문로7길,가구,81436183 
49,자하문로7길,고시원,10135558 
50,자하문로7길,핸드폰,10400534 
51,자하문로7길,컴퓨터및주변장치판매,130670598 
52,자하문로7길,외국어학원,25015529 
53,자하문로7길,섬유제품,23465667 
54,자하문로7길,부동산중개업,1559130 
55,자하문로7길,자동차미용,17602674 
56,자하문로7길,수산물판매,196388711 
57,자하문로7길,전자상거래업,22756167 
58,자하문로7길,자동차수리,23608352 
59,자하문로7길,서적,2523314 
60,자하문로7길,미곡판매,83827225 
61,자하문로7길,완구,39682594 
62,자하문로7길,자전거 및 기타운송장비,48312225 
63,서울 종로구 광화문역_2,한식음식점,57904669 
64,서울 종로구 광화문역_2,중식음식점,77378523 
65,서울 종로구 광화문역_2,커피-음료,37187734 
66,서울 종로구 광화문역_2,예술학원,12086408 
67,서울 종로구 광화문역_2,미용실,25879144 
68,서울 종로구 광화문역_2,세탁소,12016870 
69,서울 종로구 광화문역_2,슈퍼마켓,19363305 
70,서울 종로구 광화문역_2,편의점,133931301 
71,서울 종로구 광화문역_2,의료기기,176950690 
72,서울 종로구 광화문역_2,패스트푸드점,36985516 
73,서울 종로구 광화문역_2,분식전문점,29275985 
74,서울 종로구 광화문역_2,스포츠 강습,34340380 
75,서울 종로구 광화문역_2,일반의원,81785757 
76,서울 종로구 광화문역_2,치과의원,61907278 
77,서울 종로구 광화문역_2,네일숍,5242007 
78,서울 종로구 광화문역_2,가전제품수리,14555716 
79,서울 종로구 광화문역_2,노래방,6637665 
80,서울 종로구 광화문역_2,육류판매,622244454 
81,서울 종로구 광화문역_2,반찬가게,5118656 
82,서울 종로구 광화문역_2,일반의류,5399618 
83,서울 종로구 광화문역_2,안경,80484954 
84,서울 종로구 광화문역_2,의약품,50338333 
85,서울 종로구 광화문역_2,애완동물,18001792 
86,서울 종로구 광화문역_2,가전제품,124243484 
87,서울 종로구 광화문역_2,철물점,14510941 
88,서울 종로구 광화문역_2,조명용품,56869575 
89,서울 종로구 광화문역_2,일식음식점,75132373 
90,서울 종로구 광화문역_2,양식음식점,64633387 
91,서울 종로구 광화문역_2,제과점,27401697 
92,서울 종로구 광화문역_2,치킨전문점,82197553 
93,서울 종로구 광화문역_2,호프-간이주점,46760442 
94,서울 종로구 광화문역_2,한의원,52758828 
95,서울 종로구 광화문역_2,당구장,4088895 
96,서울 종로구 광화문역_2,PC방,47046541 
97,서울 종로구 광화문역_2,스포츠클럽,646086600 
98,서울 종로구 광화문역_2,피부관리실,7119934 
99,서울 종로구 광화문역_2,여관,34893545 
100,서울 종로구 광화문역_2,청과상,479954124 
101,서울 종로구 광화문역_2,신발,1036808 
102,서울 종로구 광화문역_2,시계및귀금속,85947 
103,서울 종로구 광화문역_2,문구,169894352 
104,서울 종로구 광화문역_2,화장품,24786322 
105,서울 종로구 광화문역_2,운동/경기용품,2981812 
106,서울 종로구 광화문역_2,화초,14510805 
107,서울 종로구 광화문역_2,인테리어,17078743 
108,서울 종로구 광화문역_2,일반교습학원,29141211 
109,서울 종로구 광화문역_2,골프연습장,28888052 
110,서울 종로구 광화문역_2,가방,17334099 
111,서울 종로구 광화문역_2,가구,94175532 
112,서울 종로구 광화문역_2,고시원,11721099 
113,서울 종로구 광화문역_2,핸드폰,4276222 
114,서울 종로구 광화문역_2,컴퓨터및주변장치판매,20238468 
115,서울 종로구 광화문역_2,외국어학원,28928797 
116,서울 종로구 광화문역_2,섬유제품,27136484 
117,서울 종로구 광화문역_2,부동산중개업,1803030 
118,서울 종로구 광화문역_2,자동차미용,20356322 
