상권_코드_명,분기당_매출_금액,점포수,점포당매출액
가락시장,309735238883 ,112.5,2755077283 
가로공원로58길,521557199 ,25,20815400 
가로공원로76가길,2087768986 ,74.75,27927147 
가로공원로80길,4064801231 ,69,57515360 
가리봉시장,4201526419 ,72.25,58127093 
가마산로61길,956180301 ,73.25,13118235 
가산디지털단지역_1,52536759894 ,471.75,111363284 
가산디지털단지역_2,78912788891 ,822.5,95958424 
가산디지털단지역_3,197758868977 ,2003.75,98806014 
가산로3길,6162459959 ,70.25,87842092 
가산로5길,3136551496 ,107.75,29095742 
가재울로6길,5949548751 ,110.75,53754773 
가좌로7길,2955824431 ,80.75,36650946 
갈현로1길,4117736945 ,130,31682057 
갈현로33길,2229430633 ,114,19549034 
갈현로41길,1431498675 ,42.25,33909566 
갈현로7길,3575520419 ,85.75,41707313 
갈현시장,719340733 ,12,59945061 
강남 마이스 관광특구,161367406659 ,855,188818963 
강남개포시장,3492697615 ,122,28629410 
강남골목시장,4809413272 ,38.75,124259698 
강남구 논현역_1,48903633171 ,572.5,85394008 
강남구 논현역_2,90822477975 ,1163.5,78092323 
강남구 논현역_3,13293421950 ,74.5,178736418 
강남구 논현역_4,30172575080 ,468.75,64368889 
강남구 신사역_1,16380627840 ,187.75,87223999 
강남구 신사역_2,55130882708 ,435.75,126474135 
강남대로118길,3727306483 ,92.75,40166888 
강남대로136길,15375980317 ,91,170447462 
강남대로140길,507591667 ,16,32993398 
강남대로23길,9249213825 ,73.75,125330748 
강남대로34길,6624845260 ,138.5,47812522 
강남대로8길,13067517190 ,223,59017344 
강남시장_강남,2268569194 ,43,52791075 
강남시장_동작,761619244 ,14,54382990 
강동대로53길,10363304129 ,230.5,44956323 
강북종합시장,5023735991 ,98.5,51164418 
강서구청,22003799015 ,458,48020916 
강서로15길,5369458409 ,137.75,38997501 
강서로17가길,1302137638 ,33,39672552 
강서로18길,4593208526 ,126,36744442 
강서로29길,3578825853 ,85.25,41963926 
강서로35길,1695784702 ,63.25,26808348 
강서로45길,10400513180 ,188.25,55251885 
강서로45다길,2955328721 ,79.75,37022852 
강서로47길,7110570947 ,141.25,50365178 
강서로47라길,1100768683 ,51.25,21496903 
강서로5가길,13845894799 ,217.25,63734744 
강서로5나길,4960415039 ,109.5,45316539 
강서로5라길,2481579634 ,80.25,30901033 
강서로8길,5959331989 ,181,32878224 
개봉동 현대아파트 인근,13356458049 ,289.75,46091723 
개봉로11길,626531813 ,50,12530095 
개봉로17길,1128038656 ,53.75,21039023 
개봉로17다길,3172137710 ,49.75,63755666 
개봉로1길,802201484 ,22.75,35598367 
개봉로20길,3547131648 ,78,45486347 
개봉로23가길,12336789290 ,185.75,66462693 
개봉로2길,3734410525 ,141.25,26460071 
개봉로3길,7113550506 ,160.75,44253175 
개봉중앙시장,4186343009 ,13.75,304529778 
개운사길,6507914009 ,105,61865301 
개포로17길,5420921642 ,98.5,55295156 
개포로20길,8883055925 ,139,64049655 
개포로28길,7498088399 ,80.5,93128697 
개포로82길,10829443039 ,132.75,81564700 
개화동로23길,6445657976 ,108.25,59530458 
개화동로25길,1890189974 ,93,20383620 
거마로20길,10422532636 ,186.5,55921465 
건대입구역,16488864423 ,114.5,143959648 
겸재로29길,5680041004 ,114.25,49739747 
겸재로36길,1263319368 ,54,23348507 
