서비스_업종_코드_명,분기당_매출_금액,점포수,점포당매출액,평균 대비 매출율
PC방,91112312010.0,1014.75,88980241.98823439,1.0186847010355486
가구,191941227305.5,1079.0,178116424.24307758,2.0391546744003275
가방,51040387836.75,1558.0,32784393.67939315,0.37533006797554375
가전제품,303470082767.0,1291.25,234984656.41688967,2.6902070518265426
가전제품수리,10111534316.5,362.25,27529571.01195148,0.3151705613438866
고시원,3532914930.0,160.0,22168392.741521124,0.2537934492841805
골프연습장,32562886653.0,595.5,54636659.48721605,0.6255043579525801
네일숍,12811214586.25,1184.75,10801425.863576353,0.12365944428483179
노래방,61063270603.0,4839.5,12553972.876693651,0.14372336847987055
당구장,20663938668.25,2155.5,9565471.231403427,0.10950969545480435
문구,335042226393.0,2168.0,154611559.22253835,1.7700607063316074
미곡판매,94675754430.75,516.75,183346089.33771798,2.09902616614289
미용실,208087215573.75,11579.25,17970653.70208064,0.2057358980473216
반찬가게,634326424887.0,4023.75,157665608.0062253,1.8050247916458448
부동산중개업,2394619430.5,724.75,3410113.5562341237,0.039040470456227404
분식전문점,357877876251.5,10743.5,33367798.21005595,0.38200913803223796
서적,91590834949.0,1037.5,88302062.55472356,1.0109206064676133
섬유제품,83468245511.5,1626.75,51323877.71323733,0.5875781842805895
세탁소,21824389422.25,2023.75,10784346.223134464,0.12346390909602391
수산물판매,507981235131.5,1183.5,429539472.74454993,4.917555623568737
슈퍼마켓,769521322495.0,8652.5,88959460.60517907,1.018446786679375
스포츠 강습,52489687236.0,2389.75,21965623.706334837,0.2514720607447414
스포츠클럽,48294409117.25,748.5,64288213.49066685,0.7359995666061346
시계및귀금속,273761897253.0,4349.25,62951490.33002145,0.7206961756190724
신발,144037302868.0,3537.25,40770141.246274,0.46675439646623323
안경,103808512240.25,1716.75,60471475.58680635,0.6923038828942462
애완동물,16410020448.75,481.75,34047217.21732999,0.38978742378239734
양식음식점,235819449047.0,4469.75,52740731.65377729,0.6037989474587885
여관,59371762718.25,2402.0,24666261.1661468,0.28239013875713564
예술학원,61131755659.5,2677.5,22859310.281251088,0.26170337525957965
완구,21984706347.25,253.5,86793381.32692091,0.9936485643697135
외국어학원,108983080587.25,1994.0,54713721.744614005,0.6263866003570112
운동/경기용품,233888684565.75,1543.25,151627450.88604316,1.7358973298258182
육류판매,696216361920.75,2926.25,237935577.13290256,2.723990481947678
의료기기,273731094708.5,819.25,334671047.9331443,3.8314604320148775
의약품,1008099686577.25,4877.25,206759944.94026595,2.3670782186167965
인테리어,47753325208.25,1476.5,32301432.527123585,0.3698009176156632
일반교습학원,240023924836.5,4357.25,55115466.39009543,0.6309859486497366
일반의류,1323154191020.25,44108.75,30034820.339147426,0.34385175061545054
일반의원,993333687538.25,5398.5,183997475.90558487,2.106483524274528
일식음식점,224730407168.25,3645.5,61645281.06974321,0.7057421211001789
자동차미용,9084212072.25,235.75,38500395.895672955,0.4407693596508739
자동차수리,99895627820.25,1934.0,51635957.01917796,0.5911510045760607
자전거 및 기타운송장비,3019049175.5,28.5,105668027.03626847,1.2097337580256378
전자상거래업,188060996256.75,3791.5,49772065.46134405,0.569812359367546
제과점,225418849983.5,3013.25,74817272.82739389,0.8565408398478682
조명용품,252256809154.5,2346.5,107558779.58275352,1.2313799195724113
중식음식점,198807683855.5,3530.75,56313311.487177625,0.6446994028654424
철물점,31827077912.75,1159.25,27444887.20782112,0.31420106414129984
청과상,588233929601.0,2347.5,250428648.32700413,2.8670166213468264
치과의원,415926790566.25,2934.25,141749355.91010034,1.6228085811045052
치킨전문점,120484911536.0,3444.25,34983264.385980986,0.40050370088893184
커피-음료,508372630651.5,13345.5,38125528.98824908,0.43647771945093256
컴퓨터및주변장치판매,1291110638639.5,4518.5,285801457.3812075,3.271979999856556
패스트푸드점,125080441722.0,2715.25,46054995.84172326,0.52725772173583
편의점,1005465642010.25,5500.5,182808932.86139113,2.092876564025954
피부관리실,48500379084.5,3430.5,14143473.603603834,0.16192066752747697
한식음식점,2187166120308.75,37995.75,57557545.119873725,0.6589439333119768
한의원,172323550008.5,2310.0,74596068.70139593,0.8540083983313588
핸드폰,73069451612.0,1841.25,39612684.49396993,0.4535033256741538
호프-간이주점,429575795639.0,10676.25,40130461.21952494,0.4594310599339113
화장품,529121898436.25,10994.5,48113797.09732559,0.5508277783539294
화초,59269967343.25,2337.0,25359331.481445365,0.2903247106481616
