,기준_년월_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,형태정보,위도,경도,위경도
0,201810,A,골목상권,1000275,보문로26길,201886,454183,11290,11290600,,37.58720469,127.0213536,"(37.5872046933463,127.021353560297)"
1,201810,A,골목상권,1000276,보문로31길,201385,454290,11290,11290555,,37.58816965,127.0156814,"(37.5881696453745,127.015681369504)"
2,201810,D,발달상권,1001045,동작구 총신대입구역_1,198304,442948,11590,11590630,,37.48597766,126.9808236,"(37.4859776591437,126.980823585705)"
3,201810,D,발달상권,1001046,서울 관악구 신림역_4,193828,443001,11620,11620695,,37.48643614,126.9302137,"(37.4864361394025,126.930213711534)"
4,201810,D,발달상권,1001047,뱅뱅사거리_1,202960,443242,11680,11680655,,37.48862344,127.0334695,"(37.488623438313,127.033469450255)"
5,201810,D,발달상권,1001048,뱅뱅사거리,202638,443504,11650,11650520,,37.49098505,127.0298295,"(37.4909850534668,127.029829455995)"
6,201810,D,발달상권,1001049,개봉동 현대아파트 인근,187247,443356,11530,11530760,,37.48956732,126.8557969,"(37.4895673229729,126.855796906025)"
7,201810,D,발달상권,1001050,교대역_1,201023,443482,11650,11650530,,37.49079003,127.0115676,"(37.4907900312765,127.011567647631)"
8,201810,D,발달상권,1001260,창동역,204324,461465,11320,11320514,,37.65280638,127.049,"(37.6528063773557,127.048999977491)"
9,201810,D,발달상권,1001261,서울 노원구 노원역_1,205532,461611,11350,11350695,,37.65411533,127.0626902,"(37.6541153309439,127.062690247053)"
10,201810,D,발달상권,1001262,서울 노원구 노원역_2,205198,461669,11350,11350695,,37.65463985,127.0589057,"(37.6546398512302,127.058905675762)"
11,201810,D,발달상권,1001263,서울 노원구 노원역_3,205516,461822,11350,11350640,,37.6560165,127.0625105,"(37.6560164988862,127.062510524154)"
12,201810,D,발달상권,1001217,서울 종로구 종로5가역_1,200123,452320,11110,11110630,,37.5704211,127.0013923,"(37.5704210970779,127.001392310948)"
13,201810,D,발달상권,1001255,서울 은평구 연신내역_3,192979,457903,11380,11380530,,37.62069666,126.9204716,"(37.6206966616816,126.920471598479)"
14,201810,D,발달상권,1001259,서울 강북구 수유역_3,202401,460138,11305,11305630,,37.64085736,127.027204,"(37.6408573643516,127.027204001545)"
15,201810,R,전통시장,1001310,구의시장,207818,449558,11215,11215860,,37.54550242,127.0884672,"(37.5455024215162,127.088467167777)"
16,201810,R,전통시장,1001322,동부시장,204647,451975,11230,11230600,,37.56730095,127.0526,"(37.5673009528671,127.052599990713)"
17,201810,R,전통시장,1001323,답십리시장,205141,452679,11230,11230610,,37.57364133,127.0581966,"(37.5736413331236,127.058196572915)"
18,201810,R,전통시장,1001324,전곡시장,206080,453173,11230,11230660,,37.57808652,127.0688302,"(37.5780865242372,127.068830225803)"
19,201810,R,전통시장,1001325,청량리청과물시장,203815,453397,11230,11230545,,37.58011692,127.0431899,"(37.5801169162396,127.04318987696)"
20,201810,R,전통시장,1001451,사당시장,197801,442618,11590,11590650,,37.48300327,126.9751372,"(37.4830032713934,126.975137226887)"
21,201810,R,전통시장,1001468,남부종합시장,198664,443924,11650,11650590,,37.49477208,126.9848923,"(37.4947720835406,126.984892279852)"
22,201810,R,전통시장,1001469,양재시장,203388,442737,11650,11650651,,37.48407188,127.0383066,"(37.4840718777507,127.038306627584)"
23,201810,R,전통시장,1001407,등마루시장,187644,450807,11500,11500520,,37.55670622,126.8601607,"(37.5567062193108,126.860160681336)"
24,201810,R,전통시장,1001408,신월중앙시장,186247,451047,11500,11500535,,37.55884882,126.8443457,"(37.5588488207642,126.844345653949)"
25,201810,R,전통시장,1001450,남성역골목시장,197564,442672,11590,11590650,,37.48348922,126.9724574,"(37.4834892217663,126.972457431809)"
26,201810,D,발달상권,1001042,서울 서초구 남부터미널역_3,201432,443037,11650,11650510,,37.48678,127.0161916,"(37.4867800032004,127.016191579593)"
27,201810,D,발달상권,1001043,동작구 총신대입구역_2,198499,442941,11650,11650621,,37.48591493,126.9830284,"(37.4859149258573,126.983028435248)"
28,201810,D,발달상권,1001044,양재역_3,202755,443008,11650,11650520,,37.48651571,127.0311506,"(37.4865157137683,127.031150589536)"
29,201810,D,발달상권,1001030,양재역_2,203216,442691,11650,11650651,,37.48365803,127.0363617,"(37.483658028396,127.036361698653)"
30,201810,D,발달상권,1001031,서울 관악구 신림역_1,193706,442615,11620,11620645,,37.48295743,126.9288376,"(37.4829574265654,126.928837567485)"
31,201810,D,발달상권,1001032,서울 관악구 신림역_2,193880,442602,11620,11620645,,37.48284146,126.930805,"(37.4828414640452,126.930804986414)"
32,201810,D,발달상권,1001033,서울 서초구 남부터미널역_1,201661,442764,11650,11650510,,37.48431987,127.0187803,"(37.4843198673523,127.018780259641)"
33,201810,A,골목상권,1000379,동일로173가길,206395,458052,11350,11350595,,37.6220437,127.0724389,"(37.6220436979358,127.072438870723)"
34,201810,A,골목상권,1000380,동일로192길,206671,458471,11350,11350595,,37.62581687,127.0755691,"(37.6258168702215,127.075569058567)"
35,201810,A,골목상권,1000381,동일로242길,205175,463916,11350,11350630,,37.67488501,127.058661,"(37.6748850115782,127.05866096147)"
36,201810,A,골목상권,1000071,이태원로54길,200121,448560,11170,11170685,,37.53654357,127.0013691,"(37.5365435745864,127.001369051889)"
37,201810,A,골목상권,1000072,장문로45길,200041,447690,11170,11170700,,37.52870487,127.0004638,"(37.5287048717228,127.000463845067)"
38,201810,A,골목상권,1000073,청파로47길,197165,449449,11170,11170555,,37.54454911,126.96792,"(37.5445491142668,126.967920024373)"
39,201810,R,전통시장,1001490,길동복조리시장,212698,448781,11740,11740685,,37.53844739,127.1436749,"(37.5384473925417,127.143674860551)"
40,201810,R,전통시장,1001332,사가정시장,207989,453527,11260,11260575,,37.58126146,127.0904454,"(37.5812614596809,127.090445394606)"
41,201810,R,전통시장,1001333,중화제일시장,206662,456140,11260,11260630,,37.60481491,127.0754459,"(37.6048149121761,127.075445884408)"
42,201810,R,전통시장,1001334,태능시장,206759,455413,11260,11260610,,37.59826401,127.0765377,"(37.5982640090777,127.076537679413)"
43,201810,R,전통시장,1001335,묵1동도깨비시장,207147,457479,11260,11260620,,37.61687551,127.0809515,"(37.6168755060639,127.080951487772)"
44,201810,R,전통시장,1001336,우림골목시장,208659,455348,11260,11260655,,37.59766245,127.0980521,"(37.5976624524733,127.098052137573)"
45,201810,R,전통시장,1001337,유영시장,208553,454672,11260,11260660,,37.59157275,127.0968439,"(37.5915727487022,127.096843930839)"
46,201810,R,전통시장,1001338,돈암제일시장,201402,454703,11290,11290555,,37.59189072,127.0158746,"(37.5918907179246,127.015874638717)"
47,201810,R,전통시장,1001377,영천시장,196581,452325,11410,11410520,,37.57045981,126.9612983,"(37.5704598113684,126.961298264201)"
48,201810,D,발달상권,1001057,교대역_2,201412,443757,11650,11650510,,37.49326729,127.0159668,"(37.4932672888119,127.015966820997)"
49,201810,D,발달상권,1001058,역삼역_1,203292,443852,11680,11680640,,37.49411846,127.0372262,"(37.4941184594506,127.037226183034)"
50,201810,D,발달상권,1001059,교대역_3,201065,443865,11650,11650530,,37.49424084,127.0120431,"(37.4942408415903,127.012043119767)"
51,201810,D,발달상권,1001060,가락시장,210036,443852,11710,11710631,,37.49406981,127.1134878,"(37.4940698147841,127.113487750174)"
52,201810,D,발달상권,1001061,방배동카페골목,198796,443913,11650,11650590,,37.49467315,126.986385,"(37.4946731542367,126.98638497674)"
53,201810,D,발달상권,1001062,서울 강남구 강남역_1,202416,443988,11650,11650520,,37.49534653,127.0273208,"(37.4953465348215,127.027320756884)"
54,201810,D,발달상권,1001181,서울 광진구 군자역,206935,450796,11215,11215730,,37.55666383,127.078487,"(37.5566638332335,127.078486993914)"
55,201810,D,발달상권,1001123,학동사거리_1,203226,446892,11680,11680531,,37.52150924,127.0364932,"(37.5215092365984,127.036493181618)"
56,201810,D,발달상권,1001017,관악구 사당역_3,198317,441788,11620,11620630,,37.47552598,126.9809732,"(37.4755259782898,126.980973225046)"
57,201810,D,발달상권,1001018,포이사거리_2,203907,441907,11650,11650652,,37.47659146,127.0441703,"(37.4765914558945,127.044170328891)"
58,201810,D,발달상권,1001019,포이사거리_1,204078,441953,11680,11680690,,37.47700518,127.0461038,"(37.4770051817091,127.046103812078)"
59,201810,D,발달상권,1001020,장지역,210795,441986,11710,11710642,,37.47724848,127.1220432,"(37.4772484811463,127.12204320261)"
60,201810,D,발달상권,1001021,가산디지털단지역_1,189789,441401,11545,11545510,,37.47198422,126.8845673,"(37.4719842184135,126.884567321424)"
61,201810,D,발달상권,1001038,구로디지탈1단지,190721,442712,11530,11530540,,37.48380626,126.8950868,"(37.4838062559727,126.89508680818)"
62,201810,D,발달상권,1001039,서울 서초구 남부터미널역_2,201211,442998,11650,11650530,,37.48642893,127.0136927,"(37.4864289260526,127.013692675383)"
63,201810,D,발달상권,1001040,서울 관악구 신림역_3,193679,442896,11620,11620695,,37.48548907,126.9285299,"(37.4854890743229,126.928529883412)"
64,201810,D,발달상권,1001041,서울 강남구 수서역,209143,443137,11680,11680750,,37.48763689,127.1033808,"(37.4876368904368,127.103380783953)"
65,201810,A,골목상권,1000377,해등로16길,203765,461761,11320,11320515,,37.65547575,127.0426669,"(37.6554757460531,127.042666864216)"
66,201810,A,골목상권,1000378,공릉로58길,206529,459618,11350,11350611,,37.63615219,127.0739707,"(37.6361521912044,127.073970726598)"
67,201810,A,골목상권,1000298,정릉로27길,201136,456377,11290,11290630,,37.60697367,127.0128654,"(37.6069736721077,127.01286535692)"
68,201810,A,골목상권,1000299,정릉로8길,199817,456396,11290,11290640,,37.60714554,126.9979275,"(37.6071455432061,126.997927494948)"
69,201810,A,골목상권,1000376,우이천로4다길,203558,459512,11320,11320513,,37.63521345,127.0403101,"(37.6352134486136,127.040310085373)"
70,201810,R,전통시장,1001292,이태원제일시장,198921,448849,11170,11170660,,37.53914684,126.9877913,"(37.5391468423987,126.98779125338)"
71,201810,R,전통시장,1001293,보광시장,200033,447503,11170,11170700,,37.52702,127.0003733,"(37.5270199985562,127.000373330315)"
72,201810,R,전통시장,1001278,남평화시장,200955,452181,11140,11140615,,37.56916823,127.01081,"(37.5691682266978,127.010810038063)"
73,201810,R,전통시장,1001279,동평화시장,201155,452190,11140,11140615,,37.56924909,127.0130739,"(37.5692490872941,127.013073934504)"
74,201810,R,전통시장,1001280,제일평화시장,201022,452093,11140,11140615,,37.56837528,127.0115683,"(37.5683752787006,127.011568316)"
75,201810,A,골목상권,1000300,종암로16길,203263,455409,11290,11290705,,37.598247,127.0369496,"(37.5982470022423,127.036949608786)"
76,201810,R,전통시장,1001281,청평화시장,201326,452228,11140,11140615,,37.56959124,127.0150096,"(37.5695912353528,127.015009624624)"
77,201810,R,전통시장,1001282,약수시장,200933,450362,11140,11140635,,37.55277912,127.0105587,"(37.552779117727,127.010558697919)"
78,201810,R,전통시장,1001283,백학시장,201714,451574,11140,11140650,,37.56369808,127.0194001,"(37.5636980822129,127.019400052715)"
79,201810,R,전통시장,1001284,서울중앙시장,201735,451936,11140,11140670,,37.56695965,127.0196386,"(37.566959648728,127.019638599172)"
80,201810,R,전통시장,1001309,조양시장,205964,448825,11215,11215847,,37.53891195,127.0674817,"(37.5389119525697,127.067481679516)"
81,201810,R,전통시장,1001368,연서시장,193085,457778,11380,11380530,,37.61957123,126.9216735,"(37.6195712311551,126.921673464157)"
82,201810,R,전통시장,1001369,갈현시장,192709,458241,11380,11380551,,37.6237399,126.9174099,"(37.6237398951872,126.917409883357)"
83,201810,R,전통시장,1001370,역촌중앙시장,192603,457080,11380,11380552,,37.61327859,126.9162209,"(37.6132785892495,126.91622088862)"
84,201810,R,전통시장,1001371,대조시장,193542,456660,11380,11380570,,37.60950151,126.9268598,"(37.6095015092193,126.926859787634)"
85,201810,D,발달상권,1001098,포스코사거리_1,204775,445500,11680,11680590,,37.50896056,127.0540067,"(37.5089605554188,127.054006746396)"
86,201810,D,발달상권,1001099,포스코사거리_2,204973,445586,11680,11680580,,37.50973437,127.0562468,"(37.5097343739654,127.056246768894)"
87,201810,D,발달상권,1001100,강남구 논현역_3,201931,445848,11680,11680521,,37.51210638,127.0218411,"(37.5121063779891,127.021841132458)"
88,201810,D,발달상권,1001101,선정릉역_2,204085,445833,11680,11680590,,37.51196421,127.0462045,"(37.5119642098126,127.046204482082)"
89,201810,D,발달상권,1001102,서울 강남구 학동역_1,202606,445905,11680,11680521,,37.51261829,127.0294761,"(37.5126182918703,127.029476115812)"
90,201810,D,발달상권,1001103,코엑스,205283,445735,11680,11680580,,37.51107515,127.0597541,"(37.511075148374,127.059754070718)"
91,201810,D,발달상권,1001104,삼성역_3,205648,445805,11680,11680580,,37.51170369,127.063883,"(37.51170369047,127.063882986789)"
92,201810,D,발달상권,1001055,서울 서초구 서초역,200791,443762,11650,11650530,,37.49331308,127.0089446,"(37.4933130795343,127.008944591465)"
93,201810,D,발달상권,1001056,서울 송파구 가락시장역,210540,443838,11710,11710620,,37.49393806,127.1191868,"(37.4939380617369,127.119186803957)"
94,201810,D,발달상권,1001027,가산디지털단지역_3,189955,442117,11545,11545510,,37.47843726,126.8864341,"(37.4784372550212,126.886434143371)"
95,201810,D,발달상권,1001028,서울 관악구 서울대입구역_2,196006,442715,11620,11620575,,37.48387124,126.9548417,"(37.4838712357707,126.954841717748)"
96,201810,D,발달상권,1001029,양재역_1,202809,442502,11650,11650651,,37.48195645,127.0317592,"(37.4819564487171,127.031759233724)"
97,201810,D,발달상권,1001011,서울 금천구 시흥1동_4,191286,439286,11545,11545670,,37.45294317,126.9015155,"(37.4529431659766,126.901515486438)"
98,201810,D,발달상권,1001054,서울 강남구 대치역_2,205280,443785,11680,11680600,,37.49350556,127.0597061,"(37.4935055624769,127.059706146587)"
99,201810,D,발달상권,1001012,양재 화물트럭터미널앞_1,203161,440282,11650,11650652,,37.46195288,127.0357295,"(37.4619528846427,127.035729507851)"
100,201810,D,발달상권,1001013,양재 화물트럭터미널앞_2,203269,440563,11650,11650652,,37.46448435,127.0369515,"(37.4644843517367,127.036951502341)"
101,201810,D,발달상권,1001014,양재동 꽃시장,203547,440820,11650,11650652,,37.46679893,127.0400951,"(37.4667989260216,127.040095141945)"
102,201810,D,발달상권,1001015,서울 금천구 독산1동_1,190842,441181,11545,11545610,,37.47001303,126.8964739,"(37.4700130276107,126.896473925438)"
103,201810,D,발달상권,1001016,서울 관악구 대학동_1,194671,441227,11620,11620735,,37.47045749,126.9397583,"(37.4704574867551,126.93975826928)"
104,201810,A,골목상권,1000155,아차산로78길,209529,449647,11215,11215810,,37.54628822,127.1078297,"(37.5462882166136,127.10782968128)"
105,201810,A,골목상권,1000156,용마산로21길,207516,451467,11215,11215750,,37.56270496,127.0850693,"(37.5627049623083,127.085069339259)"
106,201810,A,골목상권,1000157,용마산로3길,207500,450785,11215,11215750,,37.5565603,127.0848813,"(37.5565602998412,127.084881273516)"
107,201810,A,골목상권,1000158,자양로11길,207326,448272,11215,11215820,,37.53391961,127.082887,"(37.5339196128038,127.082886957232)"
108,201810,A,골목상권,1000295,장월로1길,203962,456285,11290,11290725,,37.60613693,127.0448697,"(37.6061369331172,127.044869693578)"
109,201810,A,골목상권,1000296,장위로50길,205038,457231,11290,11290780,,37.61465503,127.0570619,"(37.6146550250236,127.057061912082)"
110,201810,A,골목상권,1000297,정릉로26길,201022,456027,11290,11290630,,37.60382034,127.0115738,"(37.603820340846,127.0115738026)"
111,201810,R,전통시장,1001277,방산종합시장,200011,452055,11140,11140605,,37.56803347,127.0001245,"(37.5680334670492,127.000124511638)"
112,201810,R,전통시장,1001264,통인시장,197342,453459,11110,11110515,,37.5806796,126.9699084,"(37.5806795980136,126.969908372646)"
113,201810,R,전통시장,1001265,광장시장,199948,452270,11110,11110615,,37.56997061,126.9994114,"(37.5699706061263,126.999411384282)"
114,201810,R,전통시장,1001266,동대문종합시장,200715,452320,11110,11110630,,37.57042083,127.0080935,"(37.5704208278571,127.008093514827)"
115,201810,R,전통시장,1001267,종로신진시장,200468,452314,11110,11110630,,37.57036693,127.0052976,"(37.5703669267071,127.005297569526)"
116,201810,R,전통시장,1001268,충신시장,200505,452729,11110,11110630,,37.57410604,127.0057167,"(37.5741060367196,127.005716680264)"
117,201810,R,전통시장,1001269,동문시장,200983,452333,11110,11110670,,37.57053771,127.0111272,"(37.5705377102962,127.011127185317)"
118,201810,R,전통시장,1001270,창신골목시장,201018,452590,11110,11110680,,37.57285323,127.0115237,"(37.5728532298023,127.01152372874)"
119,201810,R,전통시장,1001272,신설종합시장,201854,452569,11110,11110710,,37.57266272,127.0209872,"(37.5726627177843,127.020987169523)"
120,201810,R,전통시장,1001286,후암시장,197904,450124,11170,11170510,,37.55063283,126.9762804,"(37.5506328316533,126.97628039005)"
121,201810,R,전통시장,1001287,신흥시장,198680,449527,11170,11170520,,37.54525531,126.9850632,"(37.5452553065624,126.985063150714)"
122,201810,R,전통시장,1001289,용문전통시장,196488,448561,11170,11170590,,37.53654591,126.9602636,"(37.5365459071811,126.960263551357)"
123,201810,R,전통시장,1001290,이촌종합시장,197769,446791,11170,11170630,,37.52060217,126.9747628,"(37.5206021651749,126.974762770199)"
124,201810,R,전통시장,1001291,이태원시장,199063,448266,11170,11170650,,37.53389416,126.9893987,"(37.5338941645164,126.98939870878)"
